id,actor,date,other actors,location,role,why ng,political event,other actors
NG1,Trump,2019-08-25,Head(s) of State,France,guest,Ostentatious empty tableware,G7,Boris Johnson
NG2,Trump,2018-04-29,Head(s) of State,Virginia USA,host,Ostentatious empty tableware,Hosting foreign Head of State,Macron
NG3,Trump,2018-04-03,Head(s) of State,WH,host,Ostentatious empty tableware,Hosting foreign Head of State,Baltic States HoG
NG4,Trump,2018-07-16,Head(s) of State,,guest,Ostentatious empty tableware,US-Russia summit,WITH PUTIN
NG5,Trump,2019-06-29,Head(s) of State,,guest,Ostentatious empty tableware,G20,multiple pics
NG6,Trump,2017-07-20,US elites,,host,Ostentatious empty tableware,,discussing healthcare
NG7,Trump,2017-07-20,US elites,,host,Ostentatious empty tableware,,same day?
NG8,Trump,2017-07-14,Head(s) of State,,guest,Ostentatious empty tableware,,macron
NG9,Trump,2018-09-19,US citizens,,n/a,Not populist,,citizens
NG10,Trump,2019-05-26,Head(s) of State,,guest,Not populist,,PM Abe