id,Short Description,Data Format,Actor,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,group,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P4,cinco de mayo trump tower love hispanics,Visual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self,Implied,Moderate,Savoury,Restaurant,Public self,Assimilated,No drink,Present,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Cultural occasion,Instagram,Actor's social media,2016-05-05,NA,NA,Implied,NA,#C6CDF7,Implied
P5,"maccies ""1237"" ref delegates to get R nomination private jet",Visual,Trump,Right,USA,Business casual,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-05-26,NA,NA,Implied,NA,#C6CDF7,Implied
P6,family meal restaurant,Visual,Trump,Right,USA,Business formal,Nation,Visually central,Shared,Implied,Moderate,Savoury,Restaurant,Unknown,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Food establishment,Other,Friends/family,Campaign,Instagram,Actor's social media,2016-02-09,NA,NA,Absent,NA,#E6A0C4,Absent
P7,kfc on private jet,Visual,Trump,Right,USA,Business casual,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-08-02,NA,NA,Implied,NA,#C6CDF7,Implied
P8,wawa campaign before plane,Visual,Trump,Right,USA,Business formal,Absent,Visually and discursively central,Self,Absent,Unhealthy,Savoury,Fast food,Established,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-11-01,NA,NA,Implied,NA,#C6CDF7,Implied
P9,"goya products, no caption",Visual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Representing 'the people',Absent,Healthy,Savoury,Convenience food,Established,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2020-07-15,NA,NA,Implied,NA,#C6CDF7,Implied
P10,philly cheesesteak,Visual,Trump,Right,USA,Business formal,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Unknown,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2020-09-16,NA,NA,Implied,NA,#C6CDF7,Implied
P51,maga cake - report donaldtrumpjr,Visual,Trump,Right,USA,Political message,Own slogan,Visually and discursively central,Others,Absent,Unhealthy,Sweet,Bespoke,Political,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Other,,No interaction,Campaign,Instagram,Actor's social media,2016-09-28,NA,NA,Absent,NA,#E6A0C4,Absent
P52,Trump cream cake looking pained and 'freewheeling DT' caption,Visual,Trump,Right,USA,Business formal,Absent,Visually central,Others,Absent,Unhealthy,Sweet,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Other social media,2023-03-15,NA,NA,Absent,NA,#E6A0C4,Absent
P53,zesto icecream post 1 [3 pics] also pics 54 & 55,Visual,Trump,Right,USA,Business formal,Nation,Peripheral,Self,Absent,Unhealthy,Sweet,Fast food,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Instagram,Other social media,2023-01-29,NA,NA,Absent,NA,#E6A0C4,Absent
P54,zesto icecream post 2 [4 pics] also pics 54 & 55. pic 4 holding ice cream cone,Visual,Trump,Right,USA,Business formal,Absent,Visually central,Self,Implied,Unhealthy,Sweet,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Campaign,Instagram,Other social media,2023-01-29,NA,NA,Implied,NA,#C6CDF7,Implied
P55,zesto icecream post 3 [2 pics] also pics 53 and 54,Visual,Trump,Right,USA,Business formal,Absent,Peripheral,Self,Absent,Unhealthy,Sweet,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Campaign,Instagram,Other social media,2023-01-29,NA,NA,Absent,NA,#E6A0C4,Absent
P117,red arrow diner 2016,Visual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self,Implied,Unhealthy,Savoury,Fast food,Independent,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,News organisation,No interaction,Campaign,Other,Mass media organisation,2016-01-12,NA,NA,Implied,NA,#C6CDF7,Implied
V2,Trump buys pizza,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self representing 'the people',Absent,Unhealthy,Savoury,Fast food,Independent,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,News organisation,Food service employee(s),Campaign,Twitter,Mass media organisation,2020-08-21,NA,NA,Present,NA,#7294D4,Present
V4,Trump long diner vid,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually central,Shared,Implied,Unhealthy,Savoury,Restaurant,Independent,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,News organisation,Press actor(s),Press event,YouTube,Mass media organisation,2016-04-03,NA,NA,Absent,NA,#E6A0C4,Absent
V6,Trump clemsen tigers whitehouse fast food,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Others,Absent,Unhealthy,Savoury,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,News organisation,Press actor(s),Press event,YouTube,Mass media organisation,2019-01-15,NA,NA,Present,NA,#7294D4,Present
V7,longer Trump buying maccies for emergency workers Ohio 2023,Audiovisual,Trump,Right,USA,Business formal,Own slogan,Visually and discursively central,Others,Absent,Unhealthy,Savoury,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,News organisation,Ordinary citizen(s),Campaign,YouTube,Mass media organisation,2023-02-22,NA,NA,Present,NA,#7294D4,Present
V26,spirit of america,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually central,Self representing 'the people',Absent,Unhealthy,Sweet,Fast food,Independent,Endogenous,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,National occassion,Instagram,Actor's social media,2020-07-03,NA,NA,Absent,NA,#E6A0C4,Absent
V45,bison football whitehouse maccies,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Others,Absent,Unhealthy,Savoury,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,News organisation,,Press event,YouTube,Mass media organisation,2019-03-04,NA,NA,Present,NA,#7294D4,Present
V46,"Farmers food box covid, Trump starts about 5 mins in",Audiovisual,Trump,Right,USA,Business formal,Nation,Discursively central,Self representing 'the people',Absent,Healthy,Fresh,Unprocessed,Farmers,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,News organisation,Political actor(s),Campaign,Other,Mass media organisation,2020-08-24,NA,NA,Absent,NA,#E6A0C4,Absent
V47,no more oreos chant,Audiovisual,Trump,Right,USA,Business formal,Nation,Discursively central,Self representing 'the people',Absent,Unhealthy,Sweet,Convenience food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,News organisation,In-person audience,Press event,YouTube,Mass media organisation,2016-01-21,NA,NA,Implied,NA,#C6CDF7,Implied
V48,telling governer no more oreos,Audiovisual,Trump,Right,USA,Business formal,Nation,Discursively central,Self representing 'the people',Absent,Unhealthy,Sweet,Convenience food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,News organisation,Political actor(s),Campaign,YouTube,Mass media organisation,2016-05-20,NA,NA,Implied,NA,#C6CDF7,Implied
V52,Trump offering pizza to supporters and eating it - cuts off before he asks who wants his bitten slice,Audiovisual,Trump,Right,USA,Business formal,Absent,Visually and discursively central,Shared,Present,Unhealthy,Savoury,Fast food,Independent,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Campaign,Twitter,Other social media,2023-04-22,NA,NA,Present,NA,#7294D4,Present
V53,Trump Tower burger at red arrow diner NH,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self representing 'the people',Absent,Unhealthy,Savoury,Fast food,Public self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Twitter,Other social media,2023-04-27,NA,NA,Present,NA,#7294D4,Present
V54,Trump we're having waffles for everyone,Audiovisual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self representing 'the people',Absent,Unhealthy,Sweet,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Campaign,Instagram,Other social media,2023-06-10,NA,NA,Present,NA,#7294D4,Present
V56,Trump buying pizza for everyone line to V52,Audiovisual,Trump,Right,USA,Business formal,Absent,Visually and discursively central,Shared,Absent,Unhealthy,Savoury,Fast food,Independent,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,Actor's team,Ordinary citizen(s),Campaign,Twitter,Other social media,2023-04-22,NA,NA,Present,NA,#7294D4,Present
V57,does anyone want a piece that I've eaten?,Audiovisual,Trump,Right,USA,Business formal,Absent,Visually and discursively central,Shared,Present,Unhealthy,Savoury,Fast food,Independent,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,Actor's team,Ordinary citizen(s),Campaign,Other,Mass media organisation,2023-04-22,NA,NA,Present,NA,#7294D4,Present